Description:	Type:	Offset:	Related:	Size:	Comment:
PIT reset.	8086_code	64529	0	48	Resets the system timer to its default speed and restores interrupt 0x08 to its original vector.
PRINTING...	text	213416	0	10	
remove()	8086_code	150864	0	13	
Right arrow.	icon	201916	204320	177	
rmdir()	8086_code	149834	0	40	
Run-time error 203 handler.	8086_code	151818	0	36	Gives the command to display either a run-time error code 203 or 255.
Run-time error messages.	text	225344	0	224	
Save movie dialog drive mask. 	text	204352	0	3	
Scenes dialog.	text	215370	0	30	
segread()	8086_code	147904	0	29	
Select drive.	8086_code	151188	0	23	Returns the number of drives.
Speaking icon record size.	binary	203364	0	2	
Speaking icon.	point	203360	0	4	
Speaking icon.	far_address	203370	0	4	
Speaking.	icon	202840	204320	248	
Speech balloon dialog buttons.	text	203578	0	18	
Speech balloon dialog buttons.	rectangles	203596	0	24	
Speech balloon information.	binary	156224	0	1074	
Speech balloon layouts.	text	203820	0	46	
Speech balloon line break	binary	203412	0	3	
Speech balloon menu slots.	text	168150	0	2125	
Speech balloon properties dialog.	rectangles	203426	0	152	
Speech balloon types.	text	203620	0	198	
Speech balloon.	icon	202240	204320	141	
Startup files.	text	203964	0	46	
strchr()	8086_code	147934	0	45	
strcpy	8086_code	154346	0	54	
strlen()	8086_code	154400	0	23	
strlwr()	8086_code	148096	0	40	
strncmp()	8086_code	156158	0	59	
strncpy()	8086_code	155910	0	94	
strrchr()	8086_code	148050	0	46	
strupr()	8086_code	148136	0	40	
Supported file extensions.	text	204244	0	30	
Thought balloon information.	binary	157308	0	1468	
Ticket screen CGA.	palette	193808	0	32	
Ticket screen EGA.	palette	193776	0	32	
Ticket screen.	image	193840	193776	6814	
Ticket screen.	rectangles	206834	0	48	
Ticket screen.	text	206905	0	16	
Time zones.	text	225226	0	11	
Title screen CGA.	palette	183056	0	32	
Title screen EGA.	palette	183088	0	32	
Title screen mouse pointer boolean.	binary	214604	0	2	0 = on, non-zero = off
